mol	IC50(¦ÌM)	cmpdNO.
O(CC)C1C=C(CC(N)C1NC(=O)C)C(O)=O	1.99	141
O(CC=C)C1C=C(CC(N)C1NC(=O)C)C(O)=O	2.18	142
OC(=O)C1CC(C(NC(=O)C)C(=O)N(C(C)C)C)C(NC(N)=N)C1	3.235	143
OC(=O)C1CC(C(NC(=O)C)C(=O)N(CCCC)C)C(NC(N)=N)C1	2.4	144
OC(=O)C1CC(C(NC(=O)C)C(=O)N(CCCCCC)C)C(NC(N)=N)C1	64.57	145
OC(=O)C1CC(C(NC(=O)C)C(=O)N(CCc2ccccc2)C)C(NC(N)=N)C1	7.94	146
O(CC1=NCCc2c1cccc2)c1cc([N+](=O)[O-])ccc1	1258.9	147
Brc1cc(OCC2=NCCc3c2cccc3)ccc1	1698.2	148
O(CC1=NCCc2c1cccc2)c1cc(ccc1)C#N	1445.4	149
Clc1cc(OCC2=NCCc3c2cccc3)ccc1	1548.8	150
Fc1cc(OCC2=NCCc3c2cccc3)ccc1	2344.2	151
O(CC1=NCCc2c1cccc2)c1ccccc1	2630.2	152
O(CC1=NCCc2c1cccc2)c1cc(ccc1)C	2089.3	153
O(CC1=NCCc2c1cccc2)c1cc(OC)ccc1	2938.8	154
O(CC1=NCCc2c1cccc2)c1cc(O)ccc1	5754.4	155
O(CC1=NCCc2c1cccc2)c1cc(OCC)ccc1	2238.7	156
O(CC1=NCCc2c1cccc2)c1cc(OCCC)ccc1	1621.81	157
O(CC1=NCCc2c1cccc2)c1cc(OCCCC)ccc1	1659.6	158
O(CC1=NCCc2c1cccc2)c1cc(OC(C)(C)C)ccc1	707.95	159
O(CC1=NCCc2c1cccc2)c1ccc(cc1)C	1659.5	160
Fc1ccc(OCC2=NCCc3c2cccc3)cc1	2137.96	161
Clc1ccc(OCC2=NCCc3c2cccc3)cc1	1513.96	162
O(N1CC(C(O)=O)C(N)C1)C(CC)CC	21.87	163
OC(=O)C1CN(CC1N)C(=O)N(CC)CC	25.11	164
OC(=O)C1CN(CC1N)C(=O)N(C(C)C)CC	1.584	165
OC(=O)C1CN(CC1N)C(=O)N(C(C)C)C(C)C	3.98	166
OC(=O)C1CN(CC1N)C(=O)N(C(C)C)CCO	20.89	167
OC(=O)C1CN(CC1N)C(=O)N(C(C)C)CCCO	2.089	168
OC(=O)C1CN(CC1N)C(=O)N(C(C)C)CCCCCO	1.995	169
OC(=O)C1CN(CC1N)C(=O)N(C(C)C)CCCC(O)=O	19.05	170
OC(=O)C1CN(CC1N)C(=O)N(C(C)C)CCCCC(O)=O	1.288	171
OC(=O)C1CN(CC1N)C(=O)N(C(C)C)CCCN	45.7	172
OC(=O)C1CN(CC1N)C(=O)N(C(C)C)CCc1ncccc1	1.289	173
OC(=O)C1CN(C(=O)N(C(C)C)CC)C(NC(=O)C)C1N	7.585	174
OC(=O)C1CN(C(=O)N(C(C)C)CC)C(NC(=O)CC)C1N	15.84	175
OC(=O)C1CN(C(=O)N(C(C)C)CC)C(NC(=O)C=C)C1N	95.49	176
S(=O)(=O)(NC1N(CC(C(O)=O)C1N)C(=O)N(C(C)C)CC)C	128.83	177
OC(=O)C1CC(CNC(=O)C)C(NC(N)=N)C1	107.16	178
O=C1N(c2ccc(cc2\N=C(\N)/N)C(O)=O)C(CC1)(CO)CO	4.57	181
O=C1N(CCC1)c1ccc(cc1\N=C(\N)/N)C(O)=O	234.42	183
OC(=O)c1cc(\C=N\O)c(NC(=O)C)cc1	4677.35	185
OC(=O)c1cc(CC[N+](=O)[O-])c(NC(=O)C)cc1	2089.29	186
S(=O)(=O)(Nc1ccc(cc1\N=C(\N)/N)C(O)=O)C	75.85	187
S(=O)(=O)(Nc1ccc(cc1\C=N\O)C(O)=O)C	1659.83	188
OC(=O)c1cc(\N=C(\N)/N)c(NC(=O)C2CC2)cc1	812.83	189
S(=O)(=O)(Cc1ccc(cc1\N=C(\N)/N)C(O)=O)C	107.15	190
O1C(C(=O)N(C)C)C(NC(=O)C)C(N)C=C1C(O)=O	1.29	191
O1C(C(O)C(O)CO)C(NC(=O)C)C(O)C=C1C(O)=O	9.12	192
OC(=O)C1CN(C(=O)N(C(C)C)CC)C(CNC=O)C1N	16.21	194
OC(=O)C1CN(C(=O)N(C(C)C)CC)C(CNC(=O)C=C)C1N	173.78	195
OC(=O)c1cc(\N=C(\N)/N)c(NC(=O)C)cc1	1.698	196
OC(=O)c1cc(\N=C(\N)/N)c(NNC)cc1	3.467	197
